samples,computations,computations_times_sample,losses,val_losses,train_losses,grad_norms,least_eig,delta_m_norm
0,0,0,0.3207984375953674,0.31788227051496504,0.31926175159215925,,,
11000,600,15000,0.050872993245720866,0.05172890793532133,0.051809625454247,0.17581762,"tensor(0.5202950239, device='cuda:0')","tensor(0.0030202856, device='cuda:0')"
22000,1200,30000,0.0469970191642642,0.047326562628149986,0.047692648880183694,0.14210434,"tensor(0.5953010321, device='cuda:0')","tensor(0.0005626460, device='cuda:0')"
33000,1800,45000,0.044738696999847886,0.04524552471935749,0.04521295814216137,0.1929457,"tensor(0.2666283548, device='cuda:0')","tensor(0.0024961801, device='cuda:0')"
44000,2400,60000,0.04360106848180294,0.04406198777258396,0.044222516641020775,0.19419222,"tensor(0.7662741542, device='cuda:0')","tensor(0.0013554712, device='cuda:0')"
55000,3000,75000,0.04260251302272081,0.043003071621060374,0.04314157354831696,0.17640159,"tensor(0.5639477372, device='cuda:0')","tensor(0.0037186872, device='cuda:0')"
66000,3600,90000,0.04177030585706234,0.042260559275746346,0.042306779213249684,0.14906304,"tensor(0.1311203241, device='cuda:0')","tensor(0.0020930979, device='cuda:0')"
77000,4200,105000,0.041281909085810184,0.04173080336302519,0.04181683694571257,0.12960947,"tensor(0.4732954204, device='cuda:0')","tensor(0.0021586984, device='cuda:0')"
88000,4800,120000,0.04128420222550631,0.041687298826873304,0.041662453904747966,0.20684183,"tensor(0.3631058931, device='cuda:0')","tensor(0.0030716485, device='cuda:0')"
99000,5400,135000,0.04126785844564438,0.04153090465813875,0.04164351764321327,0.15311377,"tensor(0.1308332980, device='cuda:0')","tensor(0.0007222242, device='cuda:0')"
110000,6000,150000,0.04107952367514372,0.04127118814736605,0.04135733285546303,0.16220562,"tensor(0.3823751509, device='cuda:0')","tensor(0.0016945540, device='cuda:0')"
121000,6600,165000,0.04079929981380701,0.04097167283296585,0.04088947924226522,0.12591979,"tensor(0.4540308416, device='cuda:0')","tensor(0.0011138413, device='cuda:0')"
132000,7200,180000,0.0407584292255342,0.04098147716373205,0.040958116441965106,0.19029543,"tensor(0.0338413194, device='cuda:0')","tensor(0.0020456791, device='cuda:0')"
143000,7800,195000,0.04040261324495077,0.040839354135096075,0.04074506260454655,0.1201228,"tensor(0.4344871342, device='cuda:0')","tensor(0.0015016736, device='cuda:0')"
154000,8400,210000,0.04018148921430111,0.04041346605867147,0.040461384333670136,0.13652797,"tensor(0.3746201396, device='cuda:0')","tensor(0.0011563540, device='cuda:0')"
